glac_id,melt_rate,lat,lon,dist_km
G291465E24729S,-6.88E-13,-24.72909695,-68.53474982,150.8201269
G314100E60602S,1.04E-10,-60.59378878,-45.83455068,150.8247724
G291457E24733S,-1.51E-13,-24.73310543,-68.54294031,150.8292442
G287367E15227S,-6.12E-12,-15.22641005,-72.63331028,150.8688483
G287366E15228S,-7.04E-14,-15.22879327,-72.63785339,150.8739448
G287360E15238S,4.73E-13,-15.23820741,-72.63863611,150.8780637
G287351E15240S,-8.65E-14,-15.23956006,-72.64691873,150.8862779
G287359E15538S,-6.47E-12,-15.55378312,-72.58093061,150.9381563
G287355E15536S,-5.13E-12,-15.55418014,-72.58262873,150.939883
G287355E15537S,-5.99E-12,-15.54626632,-72.58727898,150.941354
G287410E15547S,-1.17E-11,-15.54748081,-72.58924566,150.9436269
G287356E15537S,-1.49E-11,-15.55961534,-72.585714,150.9447263
G287358E15539S,-3.98E-12,-15.55998431,-72.58579309,150.9449335
G287356E15539S,-4.46E-12,-15.55778425,-72.58699995,150.9452623
G287357E15536S,-3.27E-11,-15.54015766,-72.59754624,150.9487152
G287358E15536S,-5.10E-12,-15.56104598,-72.5931955,150.9522183
G287356E15536S,-4.97E-12,-15.5619453,-72.59323659,150.9525821
G287355E15538S,-5.17E-12,-15.56235927,-72.59316293,150.9526633
G287359E15539S,-4.90E-12,-15.53908527,-72.60430959,150.9546324
G287396E15539S,2.24E-12,-15.53886347,-72.60446536,150.9546974
G287357E15539S,-3.89E-12,-15.53660142,-72.60655636,150.9558284
G287358E15537S,-6.82E-12,-15.56268937,-72.60011717,150.9592655
G287355E15539S,-4.91E-12,-15.56819755,-72.60714552,150.967811
G287393E15568S,-1.67E-11,-15.56815711,-72.60742016,150.9680524
G287358E15538S,-1.22E-11,-15.5626252,-72.61402338,150.9722058
G287357E15538S,4.97E-12,-15.54697884,-72.62060235,150.9726773
G287379E15548S,3.69E-12,-15.54707831,-72.62056694,150.9726803
G287356E15538S,-5.84E-13,-15.56534092,-72.61393265,150.9731041
G287356E15535S,-5.94E-12,-15.532546,-72.6281705,150.9745119
G287359E15536S,-6.93E-12,-15.57211857,-72.61998998,150.9812038
G287359E15537S,-6.15E-12,-15.57322192,-72.620631,150.9822007
G313946E60601S,-4.76E-12,-60.59506423,-46.03904024,150.9824043
G287353E15515S,3.45E-12,-15.51476421,-72.64569376,150.9844188
G287357E15537S,-1.18E-10,-15.54722408,-72.63662464,150.987703
G287342E15515S,-1.64E-12,-15.51494113,-72.65754076,150.9955284
G287352E15570S,2.40E-12,-15.57001548,-72.64660005,151.0052489
G287353E15570S,-1.55E-11,-15.57007348,-72.64730977,151.0059315
G287345E15560S,-6.92E-11,-15.55974928,-72.65511937,151.0094764
G287355E15535S,-6.89E-12,-15.53182224,-72.67519405,151.0180909
G287122E15409S,-1.15E-13,-15.40892438,-72.87679032,151.1617245
G287118E15406S,9.25E-13,-15.40530129,-72.88074476,151.1641073
G287113E15403S,-1.34E-14,-15.40114725,-72.8862356,151.1677321
G287109E15413S,3.30E-12,-15.41426638,-72.89036583,151.1763129
G287104E15404S,7.89E-13,-15.40377989,-72.89642613,151.1781867
G287107E15425S,5.48E-13,-15.42634728,-72.89088313,151.1811502
G287101E15412S,6.13E-13,-15.41192172,-72.89744814,151.1820742
G287096E15409S,3.49E-12,-15.41003433,-72.90263833,151.1862354
G287102E15426S,8.93E-14,-15.42761142,-72.89641714,151.1867679
G287091E15406S,-1.76E-12,-15.4069202,-72.90468412,151.1870215
G287085E15395S,8.93E-14,-15.39724064,-72.91256094,151.1908815
G287086E15403S,3.23E-12,-15.3982864,-72.91547447,151.1939761
G291640E26632S,-1.81E-12,-26.63934346,-68.3513745,151.4728861
G291632E26636S,-3.50E-13,-26.63651202,-68.36794905,151.4865916
G291690E26814S,-2.46E-13,-26.81281453,-68.31004865,151.5110095
G291738E26922S,-1.79E-12,-26.921577,-68.26235501,151.5154057
G291656E26820S,-6.80E-13,-26.82034767,-68.34388715,151.544757
G291659E26831S,-1.09E-12,-26.83064648,-68.34113752,151.5467595
G291650E26822S,-5.55E-12,-26.8224047,-68.34960202,151.5507978
G291655E26838S,-1.22E-12,-26.8375245,-68.34526388,151.5534664
G291641E26813S,-2.90E-12,-26.81304894,-68.35870174,151.5549247
G291646E26829S,-1.16E-11,-26.82817552,-68.35355513,151.556867
G291634E26805S,-4.53E-12,-26.80466061,-68.36630227,151.558123
G291623E26808S,-1.34E-11,-26.80255153,-68.37103395,151.5614676
G291478E26506S,-6.54E-13,-26.50509005,-68.52129015,151.5678604
G291451E26497S,-5.83E-13,-26.5007716,-68.54670945,151.5889094
G291453E26514S,-5.69E-13,-26.51387358,-68.54654483,151.5944292
G291439E26484S,-1.61E-12,-26.48401301,-68.56114478,151.5946761
G291702E27037S,-3.04E-12,-27.03724804,-68.29817357,151.598057
G291447E26517S,-1.09E-12,-26.51676473,-68.55299836,151.6014983
G291430E26483S,-3.44E-13,-26.48324506,-68.56944073,151.6018241
G291426E26479S,-5.27E-13,-26.47916609,-68.57365769,151.6038626
G291430E26502S,2.48E-12,-26.49987622,-68.56701855,151.6068329
G291421E26480S,-1.66E-13,-26.47985949,-68.57890627,151.608895
G291439E26521S,-9.05E-13,-26.52087584,-68.56095568,151.610451
G291418E26483S,4.59E-12,-26.48324213,-68.58170265,151.6128791
G291429E26508S,-5.29E-13,-26.50823772,-68.57040079,151.6134991
G291411E26483S,9.73E-11,-26.48329792,-68.58587284,151.6166634
G291417E26496S,-3.86E-13,-26.49554931,-68.58277511,151.6191682
G291623E27050S,1.11E-13,-27.04959954,-68.37674121,151.6741482
G291590E27056S,-2.98E-12,-27.05594969,-68.40958717,151.706477
G291570E27078S,-6.64E-13,-27.07807793,-68.43011313,151.7345965
G285130E11694S,2.53E-12,-11.69280534,-74.86942613,151.7387267
G285123E11701S,-2.92E-12,-11.69804626,-74.87401217,151.744802
G285035E11450S,-8.13E-13,-11.44947721,-74.96536228,151.7479486
G285122E11702S,-4.59E-14,-11.70092303,-74.87696011,151.7485425
G285125E11712S,-3.09E-13,-11.71159131,-74.8740535,151.7493735
G285120E11699S,-6.55E-13,-11.69875482,-74.87994166,151.7506268
G285121E11706S,-1.02E-12,-11.70293445,-74.87920932,151.7513351
G285067E11557S,-1.78E-13,-11.55698437,-74.93245207,151.7527519
G285121E11713S,-5.15E-12,-11.7129809,-74.87714594,151.7527527
G285119E11702S,-4.69E-14,-11.70235995,-74.88137877,151.7531873
G285119E11700S,-3.13E-13,-11.70030153,-74.88292973,151.7539601
G285117E11703S,-2.51E-13,-11.70232182,-74.88265118,151.7543736
G291401E26787S,-3.02E-12,-26.78753328,-68.59891396,151.7602094
G285018E11446S,-2.90E-13,-11.44228444,-74.98116043,151.760451
G285019E11442S,-1.61E-12,-11.4422985,-74.98115907,151.7604544
G285017E11447S,2.16E-13,-11.44454869,-74.98211244,151.7621025
G291526E27052S,-2.42E-11,-27.05228394,-68.47375644,151.762634
G285014E11439S,-1.43E-14,-11.4394915,-74.98464425,151.7628065
G285015E11443S,-9.82E-13,-11.44201179,-74.98381328,151.7628618
G285169E11874S,-7.73E-14,-11.87439437,-74.83147835,151.7638317
G285014E11445S,-4.88E-13,-11.44314719,-74.98447925,151.7638678
G285014E11438S,-3.72E-13,-11.43838183,-74.98619587,151.7639003
G285165E11878S,1.14E-14,-11.87602286,-74.83252053,151.7653601
G285181E11916S,-2.74E-13,-11.91486716,-74.81923247,151.7658896
G285013E11439S,8.06E-14,-11.43742476,-74.9887425,151.7659832
G285010E11441S,-2.61E-13,-11.4405012,-74.98832445,151.766613
G291399E26800S,-9.81E-12,-26.80194583,-68.59919529,151.7667183
